# x,y,rho,vel_x,vel_y,p
3.049999999999999933e-01,5.000000000000000104e-03,5.313000075616026718e-01,8.275999853883871937e-01,0.000000000000000000e+00,4.000000079700689604e-01
3.150000000000000022e-01,5.000000000000000104e-03,5.313000835713654890e-01,8.275998385113866318e-01,0.000000000000000000e+00,4.000000880857842445e-01
3.250000000000000111e-01,5.000000000000000104e-03,5.313009111675793816e-01,8.275982393063179288e-01,0.000000000000000000e+00,4.000009603901933941e-01
3.350000000000000200e-01,5.000000000000000104e-03,5.313098191822049898e-01,8.275810253866068278e-01,0.000000000000000000e+00,4.000103499157606213e-01
3.450000000000000289e-01,5.000000000000000104e-03,5.314046943210668505e-01,8.273976297101687249e-01,0.000000000000000000e+00,4.001103852466100230e-01
3.550000000000000377e-01,5.000000000000000104e-03,5.323963521388010989e-01,8.254748552179974608e-01,0.000000000000000000e+00,4.011592743524728943e-01
3.649999999999999911e-01,5.000000000000000104e-03,5.417688672974421138e-01,8.069965204909058665e-01,0.000000000000000000e+00,4.112896980763075527e-01
3.750000000000000000e-01,5.000000000000000104e-03,5.975965960752005479e-01,6.975194805733085923e-01,0.000000000000000000e+00,4.753319473893838909e-01
3.850000000000000089e-01,5.000000000000000104e-03,7.316706538666747361e-01,4.652232131895348011e-01,0.000000000000000000e+00,6.404297368548697023e-01
3.950000000000000178e-01,5.000000000000000104e-03,8.656550599506966925e-01,2.691368504557241081e-01,0.000000000000000000e+00,8.161729340870758076e-01
4.050000000000000266e-01,5.000000000000000104e-03,9.436487897391629964e-01,1.673694271246336795e-01,0.000000000000000000e+00,9.227041218846087078e-01
4.150000000000000355e-01,5.000000000000000104e-03,9.783646850480018919e-01,1.244067046597752274e-01,0.000000000000000000e+00,9.711362054921088838e-01
4.249999999999999889e-01,5.000000000000000104e-03,9.916958729427267638e-01,1.080500957896648739e-01,0.000000000000000000e+00,9.901182922174069923e-01
4.349999999999999978e-01,5.000000000000000104e-03,9.961391341930037058e-01,1.023082334721242409e-01,0.000000000000000000e+00,9.968294580763705781e-01
4.450000000000000067e-01,5.000000000000000104e-03,9.971810829127057962e-01,1.004642281733585940e-01,0.000000000000000000e+00,9.989611516500370714e-01
4.550000000000000155e-01,5.000000000000000104e-03,9.969210687437392027e-01,9.992735568950188163e-02,0.000000000000000000e+00,9.995452717108898044e-01
4.650000000000000244e-01,5.000000000000000104e-03,9.960018927989748860e-01,9.977883939282458647e-02,0.000000000000000000e+00,9.996643350628292568e-01
4.750000000000000333e-01,5.000000000000000104e-03,9.943846259651121233e-01,9.972716421538939391e-02,0.000000000000000000e+00,9.996618332724940270e-01
4.849999999999999867e-01,5.000000000000000104e-03,9.913258578833750168e-01,9.969269190927754209e-02,0.000000000000000000e+00,9.996306812305094658e-01
4.949999999999999956e-01,5.000000000000000104e-03,9.823620152744444445e-01,9.965734200020590072e-02,0.000000000000000000e+00,9.995909857226379369e-01
5.050000000000000044e-01,5.000000000000000104e-03,9.810665693375291152e-01,9.961731699391415673e-02,0.000000000000000000e+00,9.995449348193378158e-01
5.150000000000000133e-01,5.000000000000000104e-03,9.875270853388863346e-01,9.957109206091299680e-02,0.000000000000000000e+00,9.994912463992541296e-01
5.250000000000000222e-01,5.000000000000000104e-03,9.940850671590770737e-01,9.951712090791459131e-02,0.000000000000000000e+00,9.994280396590725646e-01
5.350000000000000311e-01,5.000000000000000104e-03,9.976340412098866350e-01,9.945331585593124302e-02,0.000000000000000000e+00,9.993529047892089068e-01
