# x,y,rho,vel_x,vel_y,p
2.149999999999999967e-01,5.000000000000000104e-03,5.313000000019028057e-01,9.999999999616686341e-02,7.276000000000000245e-01,4.000000000020055846e-01
2.250000000000000056e-01,5.000000000000000104e-03,5.313000000246097532e-01,9.999999995049090040e-02,7.276000000000001355e-01,4.000000000259390509e-01
2.350000000000000144e-01,5.000000000000000104e-03,5.313000002644459041e-01,9.999999946873490420e-02,7.276000000000000245e-01,4.000000002787308939e-01
2.449999999999999956e-01,5.000000000000000104e-03,5.313000024084297834e-01,9.999999516844011727e-02,7.276000000000001355e-01,4.000000025385296309e-01
2.550000000000000044e-01,5.000000000000000104e-03,5.313000188731397122e-01,9.999996219405850317e-02,7.276000000000000245e-01,4.000000198926378370e-01
2.650000000000000133e-01,5.000000000000000104e-03,5.313001287622752811e-01,9.999974245625038727e-02,7.276000000000001355e-01,4.000001357178354366e-01
2.750000000000000222e-01,5.000000000000000104e-03,5.313007721284377372e-01,9.999845800458377620e-02,7.275999999999999135e-01,4.000008138383611689e-01
2.850000000000000311e-01,5.000000000000000104e-03,5.313041016044671716e-01,9.999182167135826915e-02,7.276000000000001355e-01,4.000043231865434978e-01
2.949999999999999845e-01,5.000000000000000104e-03,5.313194298559850148e-01,9.996132006142115223e-02,7.275999999999996914e-01,4.000204798439324638e-01
3.049999999999999933e-01,5.000000000000000104e-03,5.313825525854282139e-01,9.983592504534626044e-02,7.276000000000001355e-01,4.000870190345664490e-01
3.150000000000000022e-01,5.000000000000000104e-03,5.316161213373207239e-01,9.937274180557373326e-02,7.276000000000001355e-01,4.003332955064020093e-01
3.250000000000000111e-01,5.000000000000000104e-03,5.323948777685937328e-01,9.783135258852998506e-02,7.276000000000001355e-01,4.011551245030660628e-01
3.350000000000000200e-01,5.000000000000000104e-03,5.347314962826617002e-01,9.321828021756724258e-02,7.276000000000003576e-01,4.036270186389621095e-01
3.450000000000000289e-01,5.000000000000000104e-03,5.409720638841342133e-01,8.095707480995809058e-02,7.276000000000002466e-01,4.102695299146075780e-01
3.550000000000000377e-01,5.000000000000000104e-03,5.553800824336992958e-01,5.297227696076371034e-02,7.276000000000001355e-01,4.258058554198505541e-01
3.649999999999999911e-01,5.000000000000000104e-03,5.826845710518621102e-01,1.388259357303332515e-03,7.275999999744920954e-01,4.559111917891294774e-01
3.750000000000000000e-01,5.000000000000000104e-03,6.224787758298681029e-01,-7.024248523361327490e-02,7.275999933155030686e-01,5.010915078209566831e-01
3.850000000000000089e-01,5.000000000000000104e-03,6.654979121455522062e-01,-1.432197098395884827e-01,7.275996930656331019e-01,5.513147995674696489e-01
3.950000000000000178e-01,5.000000000000000104e-03,7.005489731440960322e-01,-1.994970945814859842e-01,7.275943211659072762e-01,5.931324694320109225e-01
